OTU_ID,Filtered because
vOTU_140822,sample was not significant in 181 samples (1) > 0.99
vOTU_10430,sample was not significant in 181 samples (1) > 0.99
vOTU_31766,sample was not significant in 181 samples (1) > 0.99
vOTU_17446,sample was not significant in 181 samples (1) > 0.99
vOTU_70583,sample was not significant in 181 samples (1) > 0.99
vOTU_484,sample was not significant in 181 samples (1) > 0.99
vOTU_105108,sample was not significant in 181 samples (1) > 0.99
vOTU_63955,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_15088,sample was not significant in 181 samples (1) > 0.99
vOTU_5203,sample was not significant in 181 samples (1) > 0.99
vOTU_49446,sample was not significant in 181 samples (1) > 0.99
vOTU_1461,sample was not significant in 181 samples (1) > 0.99
vOTU_16670,sample was not significant in 181 samples (1) > 0.99
vOTU_77968,sample was not significant in 181 samples (1) > 0.99
vOTU_15304,sample was not significant in 181 samples (1) > 0.99
vOTU_1690,sample was not significant in 181 samples (1) > 0.99
vOTU_97158,sample was not significant in 181 samples (1) > 0.99
vOTU_61793,sample was not significant in 181 samples (1) > 0.99
vOTU_2176,sample was not significant in 181 samples (1) > 0.99
vOTU_87615,sample was not significant in 181 samples (1) > 0.99
vOTU_102373,sample was not significant in 181 samples (1) > 0.99
vOTU_53262,sample was not significant in 181 samples (1) > 0.99
vOTU_85102,sample was not significant in 181 samples (1) > 0.99
vOTU_95420,sample was not significant in 181 samples (1) > 0.99
vOTU_1486,sample was not significant in 181 samples (1) > 0.99
vOTU_2469,sample was not significant in 181 samples (1) > 0.99
vOTU_71384,sample was not significant in 181 samples (1) > 0.99
vOTU_27333,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_87054,sample was not significant in 181 samples (1) > 0.99
vOTU_11100,sample was not significant in 181 samples (1) > 0.99
vOTU_14838,sample was not significant in 181 samples (1) > 0.99
vOTU_43478,sample was not significant in 181 samples (1) > 0.99
vOTU_3873,sample was not significant in 181 samples (1) > 0.99
vOTU_9369,sample was not significant in 181 samples (1) > 0.99
vOTU_11949,sample was not significant in 181 samples (1) > 0.99
vOTU_143184,sample was not significant in 181 samples (1) > 0.99
vOTU_36975,sample was not significant in 181 samples (1) > 0.99
vOTU_10921,sample was not significant in 181 samples (1) > 0.99
vOTU_66,sample was not significant in 181 samples (1) > 0.99
vOTU_85411,sample was not significant in 181 samples (1) > 0.99
vOTU_1266,sample was not significant in 181 samples (1) > 0.99
vOTU_9031,sample was not significant in 181 samples (1) > 0.99
vOTU_989,sample was not significant in 181 samples (1) > 0.99
vOTU_72,sample was not significant in 181 samples (1) > 0.99
vOTU_4188,sample was not significant in 181 samples (1) > 0.99
vOTU_1703,sample was not significant in 181 samples (1) > 0.99
vOTU_24680,sample was not significant in 181 samples (1) > 0.99
vOTU_1435,sample was not significant in 181 samples (1) > 0.99
vOTU_18532,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_81431,sample was not significant in 181 samples (1) > 0.99
vOTU_66245,sample was not significant in 181 samples (1) > 0.99
vOTU_59915,sample was not significant in 181 samples (1) > 0.99
vOTU_132706,sample was not significant in 181 samples (1) > 0.99
vOTU_11024,sample was not significant in 181 samples (1) > 0.99
vOTU_55398,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_61571,sample was not significant in 181 samples (1) > 0.99
vOTU_138823,sample was not significant in 181 samples (1) > 0.99
vOTU_65954,sample was not significant in 181 samples (1) > 0.99
vOTU_375,sample was not significant in 181 samples (1) > 0.99
vOTU_176,sample was not significant in 181 samples (1) > 0.99
vOTU_824,sample was not significant in 181 samples (1) > 0.99
vOTU_774,sample was not significant in 181 samples (1) > 0.99
vOTU_8724,sample was not significant in 181 samples (1) > 0.99
vOTU_10830,sample was not significant in 181 samples (1) > 0.99
vOTU_120975,sample was not significant in 181 samples (1) > 0.99
vOTU_38177,sample was not significant in 181 samples (1) > 0.99
vOTU_84883,sample was not significant in 181 samples (1) > 0.99
vOTU_1755,sample was not significant in 181 samples (1) > 0.99
vOTU_12796,sample was not significant in 181 samples (1) > 0.99
vOTU_112281,sample was not significant in 181 samples (1) > 0.99
vOTU_2516,sample was not significant in 181 samples (1) > 0.99
vOTU_37965,sample was not significant in 181 samples (1) > 0.99
vOTU_51882,sample was not significant in 181 samples (1) > 0.99
vOTU_9976,sample was not significant in 181 samples (1) > 0.99
vOTU_29061,sample was not significant in 181 samples (1) > 0.99
vOTU_90263,sample was not significant in 181 samples (1) > 0.99
vOTU_800,sample was not significant in 181 samples (1) > 0.99
vOTU_120933,sample was not significant in 181 samples (1) > 0.99
vOTU_193,sample was not significant in 181 samples (1) > 0.99
vOTU_5368,sample was not significant in 181 samples (1) > 0.99
vOTU_71157,sample was not significant in 181 samples (1) > 0.99
vOTU_12768,sample was not significant in 181 samples (1) > 0.99
vOTU_14138,sample was not significant in 181 samples (1) > 0.99
vOTU_597,sample was not significant in 181 samples (1) > 0.99
vOTU_1211,sample was not significant in 181 samples (1) > 0.99
vOTU_100880,sample was not significant in 181 samples (1) > 0.99
vOTU_77047,sample was not significant in 181 samples (1) > 0.99
vOTU_66228,sample was not significant in 181 samples (1) > 0.99
vOTU_20336,sample was not significant in 181 samples (1) > 0.99
vOTU_8028,sample was not significant in 181 samples (1) > 0.99
vOTU_3820,sample was not significant in 181 samples (1) > 0.99
vOTU_7253,sample was not significant in 181 samples (1) > 0.99
vOTU_1453,sample was not significant in 181 samples (1) > 0.99
vOTU_2400,sample was not significant in 181 samples (1) > 0.99
vOTU_445,sample was not significant in 181 samples (1) > 0.99
vOTU_84858,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_887,sample was not significant in 181 samples (1) > 0.99
vOTU_44746,sample was not significant in 181 samples (1) > 0.99
vOTU_48823,sample was not significant in 181 samples (1) > 0.99
vOTU_5312,sample was not significant in 181 samples (1) > 0.99
vOTU_31088,sample was not significant in 181 samples (1) > 0.99
vOTU_90027,sample was not significant in 181 samples (1) > 0.99
vOTU_62037,sample was not significant in 181 samples (1) > 0.99
vOTU_112343,sample was not significant in 180 samples (0.994475138121547) > 0.99
